,name,team,poste,birthday,nationality,id_teams
0,K. Denkey,Nîmes,Att.,30/11/00,TGO,15
1,A. Scheidler,Dijon,Att.,04/06/98,FRA,4
2,J. Maja,Bordeaux,Att.,27/12/98,NGA,2
3,M. Sanson,Marseille,Mil.,18/08/94,FRA,9
4,Raphinha,Rennes,Att.,14/12/96,BRA,18
5,Pablo,Bordeaux,Déf.,21/06/91,BRA,2
7,K. Lala,Strasbourg,Déf,03/10/91,FRA,20
10,M. Dembélé,Lyon,Att.,12/07/96,FRA,8
11,M. Niang,Rennes,Att.,19/12/94,SEN,18
14,N. Radonjic,Marseille,Mil.,15/02/96,SRB,9
16,D. Pereira Da Costa,Lens,Att.,05/01/01,PRT,5
17,Y. Sabaly,Bordeaux,Def.,05/03/93,SEN,2
